album_id,artist_id,album_name,album_popularity,releaste_date
6FED8aeieEnUWwQqAO9zT1,6extd4B6hl8VTmnlhpl2bY,Huncho Jack, Jack Huncho,72,2017-12-21
3YGBHF0AsDN2VHICXQj8pH,0VRj0yCOv2FXJNP47XQnx5,Quality Control Music,31,2017-11-10
2a6y0iANWmfh1nhaq4X09J,0VRj0yCOv2FXJNP47XQnx5,ATL,39,2017-06-23
5fzNN6EKHEZyqfBs4MFMrA,0VRj0yCOv2FXJNP47XQnx5,Double Trouble (Quavo feat. Meek Mill),41,2019-08-14
04FvpoMtidMYTKIl7XqYSk,5zB4FgmxvPsn1G4TeKO62C,A Million,40,2019-07-19
2Vr4RgQvp8DvEVcQUpjfAE,5zB4FgmxvPsn1G4TeKO62C,A Million,25,2019-07-19
3ohU7IZ0HmrTQd90Xqt3TH,3wyVrVrFCkukjdVIdirGVY,Pose To Do (feat. French Montana and Quavo),51,2019-07-19
37Rz3XLdW8ci3K4UslRaHs,2jku7tDXc6XoB6MO2hFuqg,Broke Leg (with Quavo & Tyga),60,2019-05-31
0oHUyB9lFZHnCaNEhWMHTt,0VRj0yCOv2FXJNP47XQnx5,Too Much Shaft (with Saweetie) [From Shaft: Original Motion Picture Soundtrack],31,2019-05-17
4uEqlHBpU35jPpYHTvcELq,7kwCkEJ384PWm0UQW3hxjS,Bacc At It Again,54,2019-03-15
4oMiA12pUkEghmi9mw9OAm,0VRj0yCOv2FXJNP47XQnx5,B U B B L E G U M,39,2018-08-10
6gQnUie7nF03zOG4HTqqbP,0VRj0yCOv2FXJNP47XQnx5,L A M B T A L K,45,2018-08-10
4XgTZqi7b25HmhO4wxrpWB,0VRj0yCOv2FXJNP47XQnx5,W O R K I N M E,57,2018-08-10
02drHFQa59AoJWU6DXSSjd,0QHgL1lAIqAw0HtD7YldmP,No Brainer,69,2018-07-27
